date,eq_gross,eq_net,eq_net_ftf
2015-01-01,1.0,1.0,1.0
2015-01-04,1.0,1.0,1.0
2015-01-05,1.0,1.0,1.0
2015-01-06,1.0,1.0,1.0
2015-01-07,1.0,1.0,1.0
2015-01-08,1.0,1.0,1.0
2015-01-11,1.0,1.0,1.0
2015-01-12,1.0,1.0,1.0
2015-01-13,1.0001338015354817,1.0001338015354817,0.9616390777135837
2015-01-14,1.0417818803432155,1.0417818803432155,0.9276931715127746
2015-01-15,1.0589237151980457,1.0589237151980457,0.8625730051790379
2015-01-18,1.0866436949023808,1.0866436949023808,0.7857800061644691
2015-01-20,1.0858040691143247,1.0858040691143247,0.6987007415885282
2015-01-21,1.0975542870687194,1.0975542870687194,0.6267028052612631
2015-01-22,1.0838844327975472,1.0838844327975472,0.5595210262159248
2015-01-25,1.0617472294663892,1.0617472294663892,0.5088166890355671
2015-01-26,1.0821622535752475,1.0821622535752475,0.4750196562802724
2015-01-27,1.072808946025647,1.072808946025647,0.43852175085247225
2015-01-28,1.0227517590270165,1.0227517590270165,0.40884034007431924
2015-01-29,1.060479194741056,1.060479194741056,0.400107400173427
2015-02-01,1.060479194741056,1.060479194741056,0.400107400173427
2015-02-02,1.0387238139490407,1.0387238139490407,0.38526320455934765
2015-02-03,1.0441334142360987,1.0441334142360987,0.3788730627111757
2015-02-04,1.0422049913088216,1.0422049913088216,0.3725149546190066
2015-02-05,1.0101613517265284,1.0101613517265284,0.36703365373999686
2015-02-08,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-09,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-10,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-11,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-12,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-15,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-17,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-18,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-19,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-22,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-23,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-24,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-25,1.017960946673466,1.017960946673466,0.3718597193623489
2015-02-26,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-01,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-02,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-03,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-04,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-05,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-08,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-09,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-10,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-11,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-12,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-15,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-16,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-17,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-18,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-19,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-22,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-23,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-24,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-25,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-26,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-29,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-30,1.017960946673466,1.017960946673466,0.3718597193623489
2015-03-31,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-01,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-05,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-06,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-07,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-08,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-09,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-12,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-13,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-14,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-15,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-16,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-19,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-20,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-21,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-22,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-23,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-26,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-27,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-28,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-29,1.017960946673466,1.017960946673466,0.3718597193623489
2015-04-30,1.0078654934385376,1.0078654934385376,0.37807984664625993
2015-05-03,1.0078654934385376,1.0078654934385376,0.37807984664625993
2015-05-04,1.0078654934385376,1.0078654934385376,0.37807984664625993
2015-05-05,1.0078654934385376,1.0078654934385376,0.37807984664625993
2015-05-06,1.0078654934385376,1.0078654934385376,0.37807984664625993
2015-05-07,1.0078654934385376,1.0078654934385376,0.37807984664625993
