date,eq_net,eq_gross
2015-01-01,1.0,1.0
2015-01-04,1.0,1.0
2015-01-05,1.0,1.0
2015-01-06,1.0,1.0
2015-01-07,1.0,1.0
2015-01-08,1.0,1.0
2015-01-11,1.0,1.0
2015-01-12,1.0,1.0
2015-01-13,1.0,1.0
2015-01-14,1.0,1.0
2015-01-15,1.0,1.0
2015-01-18,1.0,1.0
2015-01-20,1.0,1.0
2015-01-21,1.0,1.0
2015-01-22,1.0,1.0
2015-01-25,1.0,1.0
2015-01-26,1.0,1.0
2015-01-27,1.0,1.0
2015-01-28,1.0,1.0
2015-01-29,1.0,1.0
2015-02-01,1.0,1.0
2015-02-02,1.0,1.0
2015-02-03,1.0,1.0
2015-02-04,1.0,1.0
2015-02-05,1.0,1.0
2015-02-08,1.0,1.0
2015-02-09,1.0,1.0
2015-02-10,1.0,1.0
2015-02-11,1.0,1.0
2015-02-12,1.0,1.0
2015-02-15,1.0,1.0
2015-02-17,1.0,1.0
2015-02-18,1.0,1.0
2015-02-19,1.0,1.0
2015-02-22,1.0,1.0
2015-02-23,1.0,1.0
2015-02-24,1.0,1.0
2015-02-25,1.0,1.0
2015-02-26,1.0,1.0
2015-03-01,1.0,1.0
2015-03-02,1.0,1.0
2015-03-03,1.0,1.0
2015-03-04,1.0,1.0
2015-03-05,1.0,1.0
2015-03-08,1.0,1.0
2015-03-09,1.0,1.0
2015-03-10,1.0,1.0
2015-03-11,1.0,1.0
2015-03-12,1.0,1.0
2015-03-15,1.0,1.0
2015-03-16,1.0,1.0
2015-03-17,1.0,1.0
2015-03-18,1.0,1.0
2015-03-19,1.0,1.0
2015-03-22,1.0,1.0
2015-03-23,1.0,1.0
2015-03-24,1.0,1.0
2015-03-25,1.0,1.0
2015-03-26,1.0,1.0
2015-03-29,1.0,1.0
2015-03-30,1.0,1.0
2015-03-31,1.0,1.0
2015-04-01,1.0,1.0
2015-04-05,1.0,1.0
2015-04-06,1.0,1.0
2015-04-07,1.0,1.0
2015-04-08,1.0,1.0
2015-04-09,1.0,1.0
2015-04-12,1.0,1.0
2015-04-13,1.0,1.0
2015-04-14,1.0,1.0
2015-04-15,1.0,1.0
2015-04-16,1.0,1.0
2015-04-19,1.0,1.0
2015-04-20,1.0,1.0
2015-04-21,1.0,1.0
2015-04-22,1.0,1.0
2015-04-23,1.0,1.0
2015-04-26,1.0,1.0
2015-04-27,1.0,1.0
2015-04-28,1.0,1.0
2015-04-29,0.999999999882186,1.0
2015-04-30,0.9999999912604479,0.9999999914960759
2015-05-03,0.9999999912604479,0.9999999914960759
2015-05-04,0.9999999912604479,0.9999999914960759
2015-05-05,0.9999999912604479,0.9999999914960759
2015-05-06,0.9999999912604479,0.9999999914960759
2015-05-07,0.9999999912604479,0.9999999914960759
2015-05-10,0.9999999912604479,0.9999999914960759
2015-05-11,0.9999999912604479,0.9999999914960759
2015-05-12,0.9999999912604479,0.9999999914960759
2015-05-13,0.9999999911325421,0.9999999914960759
2015-05-14,0.9999999912362281,0.9999999916078438
2015-05-17,0.9999999940034505,0.9999999943766015
2015-05-18,0.9999999685285034,0.9999999689056038
2015-05-19,0.9999999710632139,0.9999999714729811
2015-05-20,0.9999999666691634,0.9999999670832663
2015-05-21,0.999999966457093,0.9999999669826601
2015-05-24,0.9999999663468377,0.9999999669826601
2015-05-26,0.9999999650087802,0.9999999656686893
2015-05-27,0.999999967441727,0.9999999681031463
2015-05-28,0.9999999682109113,0.9999999688792977
2015-05-31,0.9999999672688104,0.9999999679415553
2015-06-01,0.9999999724101128,0.9999999730845774
2015-06-02,0.9999999636819231,0.9999999643666234
2015-06-03,0.999999953511531,0.9999999543094622
2015-06-04,0.999999953511531,0.9999999543094622
2015-06-07,0.999999953511531,0.9999999543094622
2015-06-08,0.999999953511531,0.9999999543094622
2015-06-09,0.999999953511531,0.9999999543094622
2015-06-10,0.999999953511531,0.9999999543094622
2015-06-11,0.999999953511531,0.9999999543094622
2015-06-14,0.999999953511531,0.9999999543094622
2015-06-15,0.999999953511531,0.9999999543094622
2015-06-16,0.999999953511531,0.9999999543094622
2015-06-17,0.999999953511531,0.9999999543094622
2015-06-18,0.999999953511531,0.9999999543094622
2015-06-21,0.999999953365822,0.9999999543094622
2015-06-22,0.9999999434843492,0.9999999445736983
2015-06-23,0.9999999434843492,0.9999999445736983
2015-06-24,0.9999999434843492,0.9999999445736983
2015-06-25,0.9999999434843492,0.9999999445736983
2015-06-28,0.9999999434843492,0.9999999445736983
2015-06-29,0.9999999434843492,0.9999999445736983
2015-06-30,0.9999999434843492,0.9999999445736983
2015-07-01,0.9999999434843492,0.9999999445736983
2015-07-02,0.9999999434843492,0.9999999445736983
2015-07-06,0.9999999434843492,0.9999999445736983
2015-07-07,0.9999999434843492,0.9999999445736983
2015-07-08,0.9999999434843492,0.9999999445736983
2015-07-09,0.9999999434843492,0.9999999445736983
2015-07-12,0.9999999434843492,0.9999999445736983
2015-07-13,0.9999999434843492,0.9999999445736983
2015-07-14,0.9999999434843492,0.9999999445736983
2015-07-15,0.9999999434843492,0.9999999445736983
2015-07-16,0.9999999434843492,0.9999999445736983
2015-07-19,0.9999999434843492,0.9999999445736983
2015-07-20,0.9999999434843492,0.9999999445736983
2015-07-21,0.9999999434843492,0.9999999445736983
2015-07-22,0.9999999434843492,0.9999999445736983
2015-07-23,0.9999999434843492,0.9999999445736983
2015-07-26,0.9999999434843492,0.9999999445736983
2015-07-27,0.9999999434843492,0.9999999445736983
2015-07-28,0.9999999434843492,0.9999999445736983
2015-07-29,0.9999999434843492,0.9999999445736983
2015-07-30,0.9999999434843492,0.9999999445736983
2015-08-02,0.9999999434843492,0.9999999445736983
2015-08-03,0.9999999434843492,0.9999999445736983
2015-08-04,0.9999999434843492,0.9999999445736983
2015-08-05,0.9999999434843492,0.9999999445736983
2015-08-06,0.9999999434843492,0.9999999445736983
2015-08-09,0.9999999434843492,0.9999999445736983
2015-08-10,0.9999999434843492,0.9999999445736983
2015-08-11,0.9999999434843492,0.9999999445736983
2015-08-12,0.9999999434843492,0.9999999445736983
2015-08-13,0.9999999434843492,0.9999999445736983
2015-08-16,0.9999999434843492,0.9999999445736983
2015-08-17,0.9999999434843492,0.9999999445736983
2015-08-18,0.9999999434843492,0.9999999445736983
2015-08-19,0.9999999434843492,0.9999999445736983
2015-08-20,0.9999999434843492,0.9999999445736983
