date,close,high,low,r,ema_log,slope,p_trend,momentum,p_bull,p_bear,eligible_to_enter,regime,atr,ewma_sigma2_next,w_vol,f_tilde,w_raw,w_target,w_exec,P_hat_exec,fill_error_ret,net_ret_ftf,gross_ret,turnover,cost_lin,cost_imp,net_ret,alpha_ret,anchor,equity,drawdown
2020-09-29,1895.5,1908.2,1885.8,-0.004045817570407784,7.5619418174936435,-0.0009385456938666437,0.39223078062779154,1.0,0.635338468376675,0.36466153162332504,0.0,bull,32.014285714285734,0.0001305069580623932,0.827130727924054,2.941529510134025,0.6585649571836091,0.0,0.0,1923.9596860566505,-0.01501434241975759,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2020-04-02,4.25869245581451,-0.13938273125839507
2020-09-30,1916.3,1917.9,1890.0,0.010973357953046659,7.561714399792492,-0.00022741770115164428,0.46364660332664936,1.0,0.6781879619959896,0.32181203800401037,0.0,bull,32.557142857142885,0.00012990141566459113,0.8290563435097297,2.941529510134025,0.8690917206700922,0.0,0.0,1921.7726067746444,-0.002855819430488137,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2020-04-02,4.25869245581451,-0.13938273125839507
2020-10-01,1907.6,1923.6,1895.2,-0.004539998956322067,7.561227607208054,-0.00048679281599905977,0.43725449348163864,1.0,0.6623526960889832,0.3376473039110168,0.0,bull,32.63571428571431,0.00012334402574298633,0.8508087137542144,3.2234913770329827,0.8905287455790354,0.0,0.0,1922.7024132396398,-0.007916970664520793,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-04,1920.1,1924.9,1891.2,0.006552736422730243,7.5611619035955036,-6.570361255064938e-05,0.47923647347282233,1.0,0.6875418840836934,0.31245811591630657,0.0,bull,33.12857142857144,0.00011851968547595369,0.8679520705309889,3.2234913770329827,1.0494228752335906,0.0,0.0,1921.2682895018368,-0.0006084524253095422,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-05,1908.8,1927.0,1878.2,-0.005885110150512962,7.560745992460393,-0.00041591113511074695,0.44432129378054297,0.0,0.2665927762683258,0.7334072237316742,0.0,bear,34.71428571428573,0.00011348657563641671,0.8869900392371095,3.2234913770329827,0.0,0.0,0.0,1921.9512019096017,-0.0068897746802188235,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-06,1890.8,1902.4,1877.1,-0.009430008382229627,7.559786550847915,-0.0009594416124780736,0.39013209719566966,0.0,0.23407925831740178,0.7659207416825982,0.0,bear,34.67142857142859,0.00011201288458356697,0.8928057897322117,3.2234913770329827,0.0,0.0,0.0,1920.4793231235776,-0.01569670146159173,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-07,1895.1,1905.3,1885.3,0.0022741696636343622,7.559020970991406,-0.0007655798565089356,0.40945983177898865,0.0,0.24567589906739318,0.7543241009326068,0.0,bear,34.792857142857166,0.00010560242236809263,0.919504901157598,3.2234913770329827,0.0,0.0,0.0,1917.5950643249785,-0.011870119954080813,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-08,1926.2,1936.8,1898.0,0.016410743496385383,7.559277978479527,0.00025700748812163,0.51141029996946,0.0,0.30684617998167596,0.693153820018324,0.0,bear,32.235714285714316,0.0001154250271522564,0.8795104338605763,3.2234913770329827,0.0,0.0,0.0,1916.4990538515647,0.005036313024834063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-11,1928.9,1939.4,1923.8,0.0014017236008723177,7.559603610044568,0.00032563156504039625,0.5182520204422815,0.0,0.31095121226536887,0.6890487877346312,0.0,bear,31.450000000000045,0.00010861741526631556,0.9066533211709824,3.2234913770329827,0.0,0.0,0.0,1918.9529658095496,0.0051568428588576335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-12,1894.6,1930.6,1889.3,-0.0177821556327441,7.55883317424838,-0.0007704357961877406,0.4089757016688729,0.0,0.24538542100132374,0.7546145789986762,0.0,bear,30.550000000000036,0.00012107267388716461,0.8587523167526839,3.2234913770329827,0.0,0.0,0.0,1919.7096730012124,-0.013253284598972079,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-13,1907.3,1917.5,1885.0,0.0067032619022484585,7.55850981829642,-0.0003233559519602025,0.45354891067331987,0.0,0.2721293464039919,0.7278706535960081,0.0,bear,30.735714285714316,0.00011650433666174287,0.8754270118705411,3.2234913770329827,0.0,0.0,0.0,1916.1298707306407,-0.004629513307104689,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-14,1908.9,1913.2,1892.7,0.0008388821894826926,7.558256175533046,-0.000253642763373918,0.4604992139923874,0.0,0.2762995283954324,0.7237004716045676,0.0,bear,30.400000000000027,0.00010955629986170817,0.9027600057831782,3.2234913770329827,0.0,0.0,0.0,1916.3669564426184,-0.003911654063920743,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
2020-10-15,1906.4,1918.7,1901.1,-0.0013096547750013343,7.557939120548135,-0.00031705498491074735,0.45417710790665916,0.0,0.2725062647439955,0.7274937352560045,0.0,bear,29.007142857142885,0.0001030858336077867,0.9306609575193535,3.2234913770329827,0.0,0.0,0.0,1916.0145122966273,-0.005043281733438549,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2020-05-04,4.25869245581451,-0.13938273125839507
