lambda_kelly,w_max,sharpe,maxdd,final_eq,out
0.05,3.0,0.6214813211393834,-0.035141606654281565,1.2009949093215762,reports\sweep_cost0204\sweep_lam0.05_wmax3.00
0.1,3.0,0.6214813211393834,-0.035141606654281565,1.2009949093215762,reports\sweep_cost0204\sweep_lam0.10_wmax3.00
0.2,3.0,0.6214813211393834,-0.035141606654281565,1.2009949093215762,reports\sweep_cost0204\sweep_lam0.20_wmax3.00
0.3,3.0,0.6214813211393834,-0.035141606654281565,1.2009949093215762,reports\sweep_cost0204\sweep_lam0.30_wmax3.00
0.4,3.0,0.6214813211393834,-0.035141606654281565,1.2009949093215762,reports\sweep_cost0204\sweep_lam0.40_wmax3.00
0.6,3.0,0.6214813211393834,-0.035141606654281565,1.2009949093215762,reports\sweep_cost0204\sweep_lam0.60_wmax3.00
0.8,3.0,0.6214813211393834,-0.035141606654281565,1.2009949093215762,reports\sweep_cost0204\sweep_lam0.80_wmax3.00
1.0,3.0,0.6214813211393834,-0.035141606654281565,1.2009949093215762,reports\sweep_cost0204\sweep_lam1.00_wmax3.00
0.05,2.0,0.620095109756791,-0.03514160665428134,1.2004046027363637,reports\sweep_cost0204\sweep_lam0.05_wmax2.00
0.1,2.0,0.620095109756791,-0.03514160665428134,1.2004046027363637,reports\sweep_cost0204\sweep_lam0.10_wmax2.00
0.2,2.0,0.620095109756791,-0.03514160665428134,1.2004046027363637,reports\sweep_cost0204\sweep_lam0.20_wmax2.00
0.3,2.0,0.620095109756791,-0.03514160665428134,1.2004046027363637,reports\sweep_cost0204\sweep_lam0.30_wmax2.00
0.4,2.0,0.620095109756791,-0.03514160665428134,1.2004046027363637,reports\sweep_cost0204\sweep_lam0.40_wmax2.00
0.6,2.0,0.620095109756791,-0.03514160665428134,1.2004046027363637,reports\sweep_cost0204\sweep_lam0.60_wmax2.00
0.8,2.0,0.620095109756791,-0.03514160665428134,1.2004046027363637,reports\sweep_cost0204\sweep_lam0.80_wmax2.00
1.0,2.0,0.620095109756791,-0.03514160665428134,1.2004046027363637,reports\sweep_cost0204\sweep_lam1.00_wmax2.00
0.05,1.5,0.5952775049150447,-0.037326074510890095,1.188728324736758,reports\sweep_cost0204\sweep_lam0.05_wmax1.50
0.1,1.5,0.5952775049150447,-0.037326074510890095,1.188728324736758,reports\sweep_cost0204\sweep_lam0.10_wmax1.50
0.2,1.5,0.5952775049150447,-0.037326074510890095,1.188728324736758,reports\sweep_cost0204\sweep_lam0.20_wmax1.50
0.3,1.5,0.5952775049150447,-0.037326074510890095,1.188728324736758,reports\sweep_cost0204\sweep_lam0.30_wmax1.50
0.4,1.5,0.5952775049150447,-0.037326074510890095,1.188728324736758,reports\sweep_cost0204\sweep_lam0.40_wmax1.50
0.6,1.5,0.5952775049150447,-0.037326074510890095,1.188728324736758,reports\sweep_cost0204\sweep_lam0.60_wmax1.50
0.8,1.5,0.5952775049150447,-0.037326074510890095,1.188728324736758,reports\sweep_cost0204\sweep_lam0.80_wmax1.50
1.0,1.5,0.5952775049150447,-0.037326074510890095,1.188728324736758,reports\sweep_cost0204\sweep_lam1.00_wmax1.50
0.05,1.0,0.5863956592473173,-0.030996702157092382,1.1629291704990576,reports\sweep_cost0204\sweep_lam0.05_wmax1.00
0.1,1.0,0.5863956592473173,-0.030996702157092382,1.1629291704990576,reports\sweep_cost0204\sweep_lam0.10_wmax1.00
0.2,1.0,0.5863956592473173,-0.030996702157092382,1.1629291704990576,reports\sweep_cost0204\sweep_lam0.20_wmax1.00
0.3,1.0,0.5863956592473173,-0.030996702157092382,1.1629291704990576,reports\sweep_cost0204\sweep_lam0.30_wmax1.00
0.4,1.0,0.5863956592473173,-0.030996702157092382,1.1629291704990576,reports\sweep_cost0204\sweep_lam0.40_wmax1.00
0.6,1.0,0.5863956592473173,-0.030996702157092382,1.1629291704990576,reports\sweep_cost0204\sweep_lam0.60_wmax1.00
0.8,1.0,0.5863956592473173,-0.030996702157092382,1.1629291704990576,reports\sweep_cost0204\sweep_lam0.80_wmax1.00
1.0,1.0,0.5863956592473173,-0.030996702157092382,1.1629291704990576,reports\sweep_cost0204\sweep_lam1.00_wmax1.00
0.05,0.75,0.5538813829475482,-0.024057064182403387,1.1234557577821136,reports\sweep_cost0204\sweep_lam0.05_wmax0.75
0.1,0.75,0.5538813829475482,-0.024057064182403387,1.1234557577821136,reports\sweep_cost0204\sweep_lam0.10_wmax0.75
0.2,0.75,0.5538813829475482,-0.024057064182403387,1.1234557577821136,reports\sweep_cost0204\sweep_lam0.20_wmax0.75
0.3,0.75,0.5538813829475482,-0.024057064182403387,1.1234557577821136,reports\sweep_cost0204\sweep_lam0.30_wmax0.75
0.4,0.75,0.5538813829475482,-0.024057064182403387,1.1234557577821136,reports\sweep_cost0204\sweep_lam0.40_wmax0.75
0.6,0.75,0.5538813829475482,-0.024057064182403387,1.1234557577821136,reports\sweep_cost0204\sweep_lam0.60_wmax0.75
0.8,0.75,0.5538813829475482,-0.024057064182403387,1.1234557577821136,reports\sweep_cost0204\sweep_lam0.80_wmax0.75
1.0,0.75,0.5538813829475482,-0.024057064182403387,1.1234557577821136,reports\sweep_cost0204\sweep_lam1.00_wmax0.75
0.05,0.5,0.5394869011299309,-0.016302099473206932,1.082501579824202,reports\sweep_cost0204\sweep_lam0.05_wmax0.50
0.1,0.5,0.5394869011299309,-0.016302099473206932,1.082501579824202,reports\sweep_cost0204\sweep_lam0.10_wmax0.50
0.2,0.5,0.5394869011299309,-0.016302099473206932,1.082501579824202,reports\sweep_cost0204\sweep_lam0.20_wmax0.50
0.3,0.5,0.5394869011299309,-0.016302099473206932,1.082501579824202,reports\sweep_cost0204\sweep_lam0.30_wmax0.50
0.4,0.5,0.5394869011299309,-0.016302099473206932,1.082501579824202,reports\sweep_cost0204\sweep_lam0.40_wmax0.50
0.6,0.5,0.5394869011299309,-0.016302099473206932,1.082501579824202,reports\sweep_cost0204\sweep_lam0.60_wmax0.50
0.8,0.5,0.5394869011299309,-0.016302099473206932,1.082501579824202,reports\sweep_cost0204\sweep_lam0.80_wmax0.50
1.0,0.5,0.5394869011299309,-0.016302099473206932,1.082501579824202,reports\sweep_cost0204\sweep_lam1.00_wmax0.50
